f1 debug log
f1, turn=0, u1(12,1)=0, u2(16,2)=0, chosen=[12, 1], u=0
f1, turn=1, u1(12,1)=3, u2(16,2)=0, chosen=[16, 2], u=0
f1, turn=2, u1(12,1)=1, u2(16,2)=15, chosen=[12, 1], u=1
f1, turn=3, u1(12,1)=0, u2(16,2)=15, chosen=[12, 1], u=0
f1, turn=4, u1(12,1)=0, u2(16,2)=15, chosen=[12, 1], u=0
f1, turn=5, u1(12,1)=0, u2(16,2)=15, chosen=[12, 1], u=0
f1, turn=6, u1(12,1)=0, u2(16,2)=15, chosen=[12, 1], u=0
f1, turn=7, u1(12,1)=0, u2(16,2)=13, chosen=[12, 1], u=0
f1, turn=8, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=9, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=10, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=11, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=12, u1(12,1)=0, u2(16,2)=13, chosen=[12, 1], u=0
f1, turn=13, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=14, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=15, u1(12,1)=5, u2(16,2)=13, chosen=[12, 1], u=5
f1, turn=16, u1(12,1)=0, u2(16,2)=13, chosen=[12, 1], u=0
f1, turn=17, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=18, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=19, u1(12,1)=9, u2(16,2)=13, chosen=[12, 1], u=9
f1, turn=20, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=21, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=22, u1(12,1)=0, u2(16,2)=13, chosen=[12, 1], u=0
f1, turn=23, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=24, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=25, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=26, u1(12,1)=4, u2(16,2)=13, chosen=[12, 1], u=4
f1, turn=27, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=28, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=29, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=30, u1(12,1)=0, u2(16,2)=13, chosen=[12, 1], u=0
f1, turn=31, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=32, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=33, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=34, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=35, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
f1, turn=36, u1(12,1)=8, u2(16,2)=13, chosen=[12, 1], u=8
